final_rank,gene,combined_score,gene_score,ppi_final,in_network,disease_score,tissue_score,topology_score,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count,gene_rank,ppi_rank,best_pathogenic_rank,variant_row_count,max_cadd_phred,mapped_tissues,mapped_tissue_counts_json,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_match_status,mapping_basis
106,HLA-DPA1,0.5432880127136339,0.460094,0.6264820254272677,True,0.44,0.6666666666666666,0.7779281017090709,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""nerve"", ""eye"", ""retina""]",114,11370,127.0,392,,5.0,3.45,"nerve,eye,retina","{""nerve"": 3, ""eye"": 3, ""retina"": 1}",PHENOTYPE_MATCH_WEAK,0.460094,Granulomatosis with polyangiitis,,900.0,MONDO:0012105,separate_orpha_record,none
,BMP8B,,,0.5393090205323946,True,0.13333333333333333,0.8,0.5572360821295783,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""nerve"", ""eye"", ""retina""]",114,11370,906.0,897,,1.0,9.907,"nerve,eye,retina","{""nerve"": 3, ""eye"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,TAS2R19,,,0.5174609319753153,True,0.13333333333333333,0.8,0.46984372790126105,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""nerve"", ""eye"", ""retina""]",114,11370,5371.0,1068,,1.0,0.002,"nerve,eye,retina","{""nerve"": 3, ""eye"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,DDI2,,,0.4574024662213867,True,0.13333333333333333,0.6666666666666666,0.4696098648855468,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""nerve"", ""eye"", ""retina""]",114,11370,1208.0,1553,,3.0,16.17,"nerve,eye,retina","{""nerve"": 3, ""eye"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,CXCL17,,,0.4377713968528168,True,0.13333333333333333,0.76,0.22308558741126722,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""nerve"", ""eye"", ""retina""]",114,11370,1178.0,1697,,2.0,13.65,"nerve,eye,retina","{""nerve"": 3, ""eye"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
