gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
HLA-DPA1,HGNC:4938,0.460094,PHENOTYPE_MATCH_WEAK,0.460094,Granulomatosis with polyangiitis,,900,MONDO:0012105,ORPHA,separate_orpha_record,none,,,1,7,7,7,0,4.491812,5,annotated_gene,HP:0001112->HP:0000488:0.291;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000488:0.466;HP:0000587->HP:0000488:0.499;HP:0001103->HP:0000488:0.530;HP:0001117->HP:0000505:0.444;HP:0012795->HP:0000488:0.487,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_terms,127
BMP8B,HGNC:1075,,NO_GENE_DISEASE_MODEL,,,,,,,,,,,0,7,7,0,7,4.491811672588731,2,annotated_gene,,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,no_gene_disease_model,hpo_terms,906
CXCL17,HGNC:19232,,NO_GENE_DISEASE_MODEL,,,,,,,,,,,0,7,7,0,7,4.491811672588731,3,annotated_gene,,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,no_gene_disease_model,hpo_terms,1178
DDI2,HGNC:24578,,NO_GENE_DISEASE_MODEL,,,,,,,,,,,0,7,7,0,7,4.491811672588731,4,annotated_gene,,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,no_gene_disease_model,hpo_terms,1208
TAS2R19,HGNC:19108,,NO_GENE_DISEASE_MODEL,,,,,,,,,,,0,7,7,0,7,4.491811672588731,4,annotated_gene,,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,no_gene_disease_model,hpo_terms,5371
