gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
DPYSL5,HGNC:20637,0.370181,PHENOTYPE_MATCH_WEAK,0.370181,3C syndrome,,7,MONDO:0019078,ORPHA,separate_orpha_record,none,0.285292,0.084890,2,8,8,6,2,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000501:0.285;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,155
LRMDA,HGNC:23405,0.370039,PHENOTYPE_MATCH_WEAK,0.370039,"Albinism, oculocutaneous, type VII",615179,,MONDO:0014070,OMIM,separate_omim_record,none,,,1,8,8,7,1,4.941108,2,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000639:0.296;HP:0000587->HP:0000639:0.328;HP:0001103->HP:0000639:0.261;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000639:0.316,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,156
ADA2,HGNC:1839,0.369026,PHENOTYPE_MATCH_WEAK,0.369026,"Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome",615688,,MONDO:0014306,OMIM,separate_omim_record,none,0.356676,0.012349,3,8,8,6,2,4.941108,7,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000602:0.274;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,157
ALDH1A3,HGNC:409,0.366456,PHENOTYPE_MATCH_WEAK,0.366456,Nanophthalmos,,35612,MONDO:0005514,ORPHA,separate_orpha_record,none,0.294308,0.072149,2,8,8,8,0,4.941108,17,annotated_gene,HP:0001112->HP:0007703:0.324;HP:0000572->HP:0000486:0.357;HP:0000648->HP:0007703:0.556;HP:0000587->HP:0007703:0.603;HP:0001103->HP:0007703:0.623;HP:0001117->HP:0000486:0.222;HP:0032122->HP:0000486:0.214;HP:0012795->HP:0007703:0.586,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,158
SLC12A6,HGNC:10914,0.366456,PHENOTYPE_MATCH_WEAK,0.366456,Agenesis of the corpus callosum with peripheral neuropathy,218000,1496,MONDO:0000902,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.000000,0.366456,2,8,8,8,0,4.941108,6,annotated_gene,HP:0001112->HP:0007703:0.324;HP:0000572->HP:0000486:0.357;HP:0000648->HP:0007703:0.556;HP:0000587->HP:0007703:0.603;HP:0001103->HP:0007703:0.623;HP:0001117->HP:0000486:0.222;HP:0032122->HP:0000486:0.214;HP:0012795->HP:0007703:0.586,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,159
ACADS,HGNC:90,0.366436,PHENOTYPE_MATCH_WEAK,0.366436,"Acyl-Coa dehydrogenase, short-chain, deficiency of",201470,26792,MONDO:0008722,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,6,2,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000544:0.248;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,160
TBX4,HGNC:11603,0.365624,PHENOTYPE_MATCH_WEAK,0.365624,Tetraamelia-multiple malformations syndrome,,3301,MONDO:0010110,ORPHA,separate_orpha_record,none,0.285292,0.080332,5,8,8,6,2,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000518:0.240;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,161
PRMT7,HGNC:25557,0.364811,PHENOTYPE_MATCH_WEAK,0.364811,"Short stature, brachydactyly, intellectual developmental disability, and seizures",617157,464288,MONDO:0014944,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,6,annotated_gene,HP:0001112->HP:0000588:0.371;HP:0000572->HP:0000486:0.357;HP:0000648->HP:0000588:0.621;HP:0000587->HP:0000588:0.616;HP:0001103->HP:0000588:0.400;HP:0001117->HP:0000486:0.222;HP:0032122->HP:0000486:0.214;HP:0012795->HP:0000588:0.646,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,162
CTNNA2,HGNC:2510,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,"Cortical dysplasia, complex, with other brain malformations 9",618174,,,OMIM,separate_omim_record,none,,,1,8,8,6,2,4.941108,9,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,163
PCLO,HGNC:13406,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,"Pontocerebellar hypoplasia, type 3",608027,,MONDO:0011948,OMIM,separate_omim_record,none,,,1,8,8,6,2,4.941108,2,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,164
PDSS1,HGNC:17759,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,"Coenzyme Q10 deficiency, primary, 2",614651,,MONDO:0013837,OMIM,separate_omim_record,none,,,1,8,8,6,2,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,165
SMOC1,HGNC:20318,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,Microphthalmia with limb anomalies,206920,1106,MONDO:0008800,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,6,2,4.941108,11,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,166
TBC1D2B,HGNC:29183,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,Neurodevelopmental disorder with seizures and gingival overgrowth,619323,,,OMIM,separate_omim_record,none,,,1,8,8,6,2,4.941108,4,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,167
TXN2,HGNC:17772,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,Combined oxidative phosphorylation deficiency 29,616811,478029,MONDO:0014781,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,6,2,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,168
WDR4,HGNC:12756,0.364361,PHENOTYPE_MATCH_WEAK,0.364361,"Microcephaly, growth deficiency, seizures, and brain malformations",618346,,,OMIM,separate_omim_record,none,0.187861,0.176500,3,8,8,6,2,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000648:0.227;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->:0.000;HP:0032122->:0.000;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,169
GNAS,HGNC:4392,0.363436,PHENOTYPE_MATCH_WEAK,0.363436,"McCune-Albright syndrome, somatic, mosaic",174800,562,MONDO:0018919,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.276841,0.086595,8,8,8,7,1,4.941108,7,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000572:0.227;HP:0000587->HP:0000572:0.245;HP:0001103->HP:0000572:0.206;HP:0001117->HP:0000618:0.497;HP:0032122->HP:0000618:0.481;HP:0012795->HP:0000572:0.239,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,170
PSMD12,HGNC:9557,0.361424,PHENOTYPE_MATCH_WEAK,0.361424,Stankiewicz-Isidor syndrome,617516,,MONDO:0054591,OMIM,separate_omim_record,none,0.279159,0.082265,2,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000316:0.210;HP:0000572->HP:0100704:0.539;HP:0000648->HP:0000316:0.400;HP:0000587->HP:0000316:0.443;HP:0001103->HP:0000316:0.352;HP:0001117->HP:0100704:0.370;HP:0032122->HP:0100704:0.357;HP:0012795->HP:0000316:0.427,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,171
SNRPN,HGNC:11164,0.361424,PHENOTYPE_MATCH_WEAK,0.361424,Prader-Willi syndrome due to translocation,,177907,MONDO:0015785,ORPHA,separate_orpha_record,none,0.323363,0.038062,8,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000316:0.210;HP:0000572->HP:0100704:0.539;HP:0000648->HP:0000316:0.400;HP:0000587->HP:0000316:0.443;HP:0001103->HP:0000316:0.352;HP:0001117->HP:0100704:0.370;HP:0032122->HP:0100704:0.357;HP:0012795->HP:0000316:0.427,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,172
RGS9,HGNC:10004,0.360554,PHENOTYPE_MATCH_WEAK,0.360554,Prolonged electroretinal response suppression 1,608415,,MONDO:0958180,OMIM,separate_omim_record,none,0.336693,0.023862,2,8,8,7,1,4.941108,1,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0007663:0.265;HP:0000587->HP:0007663:0.290;HP:0001103->HP:0007663:0.237;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0007663:0.281,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,173
IL17F,HGNC:16404,0.353934,PHENOTYPE_MATCH_WEAK,0.353934,Chronic mucocutaneous candidiasis,,1334,MONDO:0015279,ORPHA,separate_orpha_record,none,0.000000,0.353934,2,8,8,7,1,4.941108,2,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000478:0.415;HP:0000587->HP:0000478:0.480;HP:0001103->HP:0000478:0.349;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000478:0.455,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,174
LIFR,HGNC:6597,0.353934,PHENOTYPE_MATCH_WEAK,0.353934,Stuve-Wiedemann syndrome,601559,3206,MONDO:0800043,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,7,1,4.941108,2,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000478:0.415;HP:0000587->HP:0000478:0.480;HP:0001103->HP:0000478:0.349;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000478:0.455,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,175
PYCR1,HGNC:9721,0.353934,PHENOTYPE_MATCH_WEAK,0.353934,Geroderma osteodysplastica,,2078,MONDO:0009271,ORPHA,separate_orpha_record,none,0.191150,0.162784,3,8,8,7,1,4.941108,5,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000478:0.415;HP:0000587->HP:0000478:0.480;HP:0001103->HP:0000478:0.349;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000478:0.455,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,176
WDR11,HGNC:13831,0.346716,PHENOTYPE_MATCH_WEAK,0.346716,"Intellectual developmental disorder, autosomal recessive 78",620237,,MONDO:0859373,OMIM,separate_omim_record,none,0.336693,0.010023,5,8,8,8,0,4.941108,1,annotated_gene,HP:0001112->HP:0001138:0.358;HP:0000572->HP:0000486:0.357;HP:0000648->HP:0001138:0.547;HP:0000587->HP:0001138:0.579;HP:0001103->HP:0001138:0.379;HP:0001117->HP:0000486:0.222;HP:0032122->HP:0000486:0.214;HP:0012795->HP:0001138:0.568,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,177
DSE,HGNC:21144,0.346352,PHENOTYPE_MATCH_WEAK,0.346352,Musculocontractural Ehlers-Danlos syndrome,,2953,MONDO:0011142,ORPHA,separate_orpha_record,none,0.187861,0.158491,2,8,8,8,0,4.941108,10,annotated_gene,HP:0001112->HP:0000541:0.306;HP:0000572->HP:0000486:0.357;HP:0000648->HP:0000541:0.505;HP:0000587->HP:0000541:0.543;HP:0001103->HP:0000541:0.570;HP:0001117->HP:0000486:0.222;HP:0032122->HP:0000486:0.214;HP:0012795->HP:0000541:0.529,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,178
TAT,HGNC:11573,0.344436,PHENOTYPE_MATCH_WEAK,0.344436,Tyrosine transaminase deficiency,276600,28378,MONDO:0010160,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0007957:0.320;HP:0000587->HP:0007957:0.347;HP:0001103->HP:0007957:0.289;HP:0001117->HP:0000572:0.377;HP:0032122->HP:0000572:0.364;HP:0012795->HP:0007957:0.337,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,179
ACBD6,HGNC:23339,0.344202,PHENOTYPE_MATCH_WEAK,0.344202,Neurodevelopmental disorder with progressive movement abnormalities,620785,,,OMIM,separate_omim_record,none,,,1,8,8,7,1,4.941108,5,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000490:0.329;HP:0000587->HP:0000490:0.357;HP:0001103->HP:0000490:0.296;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000490:0.347,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,180
REV3L,HGNC:9968,0.341646,PHENOTYPE_MATCH_WEAK,0.341646,Moebius syndrome,,570,MONDO:0008006,ORPHA,separate_orpha_record,none,,,1,8,8,7,1,4.941108,3,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0007957:0.320;HP:0000587->HP:0007957:0.347;HP:0001103->HP:0007957:0.289;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0007957:0.337,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,181
COG4,HGNC:18620,0.336789,PHENOTYPE_MATCH_WEAK,0.336789,Saul-Wilson syndrome,618150,85172,MONDO:0019407,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.210718,0.126071,2,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000518:0.203;HP:0000572->HP:0000662:0.497;HP:0000648->HP:0000518:0.376;HP:0000587->HP:0000518:0.414;HP:0001103->HP:0000518:0.334;HP:0001117->HP:0000662:0.339;HP:0032122->HP:0000662:0.328;HP:0012795->HP:0000518:0.400,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,182
CCDC141,HGNC:26821,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Kallmann syndrome,,478,MONDO:0018800,ORPHA,separate_orpha_record,none,0.000000,0.336693,2,8,8,7,1,4.941108,13,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,183
DCC,HGNC:2701,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Kallmann syndrome,,478,MONDO:0018800,ORPHA,separate_orpha_record,none,0.336693,0.000000,7,8,8,7,1,4.941108,4,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,184
FIG4,HGNC:16873,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,"Polymicrogyria, bilateral temporooccipital",612691,208441,MONDO:0012986,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.187861,0.148832,5,8,8,7,1,4.941108,2,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,185
FOXP1,HGNC:3823,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,MALT lymphoma,,52417,MONDO:0007650,ORPHA,separate_orpha_record,none,0.290761,0.045932,2,8,8,7,1,4.941108,5,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,186
HLA-DQB1,HGNC:4944,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Creutzfeldt-Jakob disease,123400,,MONDO:0007403,OMIM,separate_omim_record,none,0.216860,0.119833,7,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,187
HS6ST1,HGNC:5201,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Kallmann syndrome,,478,MONDO:0018800,ORPHA,separate_orpha_record,none,0.187861,0.148832,4,8,8,7,1,4.941108,1,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,188
KCNQ2,HGNC:6296,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Epilepsy of infancy with migrating focal seizures,,293181,MONDO:0017385,ORPHA,separate_orpha_record,none,0.020231,0.316462,6,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,189
LAMA3,HGNC:6483,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Laryngoonychocutaneous syndrome,245660,2407,MONDO:0009513,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.177377,0.159316,5,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,190
MIR140,HGNC:31527,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,"Spondyloepiphyseal dysplasia, Nishimura type",618618,,MONDO:0032835,OMIM,separate_omim_record,none,,,1,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,191
MSH2,HGNC:7325,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Lynch syndrome,,144,MONDO:0005835,ORPHA,separate_orpha_record,none,0.000000,0.336693,4,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,192
NDNF,HGNC:26256,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Kallmann syndrome,,478,MONDO:0018800,ORPHA,separate_orpha_record,none,0.000000,0.336693,2,8,8,7,1,4.941108,5,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,193
PLCB1,HGNC:15917,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Epilepsy of infancy with migrating focal seizures,,293181,MONDO:0017385,ORPHA,separate_orpha_record,none,0.000000,0.336693,3,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,194
PMS2,HGNC:9122,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Lynch syndrome,,144,MONDO:0005835,ORPHA,separate_orpha_record,none,0.000000,0.336693,3,8,8,7,1,4.941108,10,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,195
SCN2A,HGNC:10588,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Epilepsy of infancy with migrating focal seizures,,293181,MONDO:0017385,ORPHA,separate_orpha_record,none,0.214206,0.122487,9,8,8,7,1,4.941108,4,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,196
SUCLA2,HGNC:11448,0.336693,PHENOTYPE_MATCH_WEAK,0.336693,Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria),612073,1933,MONDO:0012791,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,7,1,4.941108,6,annotated_gene,HP:0001112->:0.000;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000505:0.303;HP:0000587->HP:0000505:0.337;HP:0001103->HP:0000505:0.267;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000505:0.324,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,197
