gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
CA2,HGNC:1373,0.635124,PHENOTYPE_MATCH_MODERATE,0.635124,"Osteopetrosis, autosomal recessive 3",259730,2785,MONDO:0009818,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,2,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000479:0.765;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,11
ACO2,HGNC:118,0.629840,PHENOTYPE_MATCH_MODERATE,0.629840,Optic atrophy 9,616289,,MONDO:0014571,OMIM,separate_omim_record,none,0.472395,0.157444,2,8,8,8,0,4.941108,9,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,12
CDC42,HGNC:1736,0.622071,PHENOTYPE_MATCH_MODERATE,0.622071,Takenouchi-Kosaki syndrome,616737,487796,MONDO:0014757,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,13
MTFMT,HGNC:29666,0.622071,PHENOTYPE_MATCH_MODERATE,0.622071,Combined oxidative phosphorylation deficiency 15,614947,,MONDO:0013987,OMIM,separate_omim_record,none,0.364540,0.257531,2,8,8,8,0,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,14
PDXK,HGNC:8819,0.622071,PHENOTYPE_MATCH_MODERATE,0.622071,"Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy",618511,,MONDO:0032792,OMIM,separate_omim_record,none,,,1,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,15
PI4KA,HGNC:8983,0.622071,PHENOTYPE_MATCH_MODERATE,0.622071,Gastrointestinal defects and immunodeficiency syndrome 2,619708,,MONDO:0030669,OMIM,separate_omim_record,none,0.210718,0.411353,5,8,8,8,0,4.941108,15,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,16
HLA-DRB1,HGNC:4948,0.615112,PHENOTYPE_MATCH_MODERATE,0.615112,Giant cell arteritis,,397,MONDO:0008538,ORPHA,separate_orpha_record,none,0.468605,0.146507,13,8,8,8,0,4.941108,10,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,17
P4HA2,HGNC:8547,0.615112,PHENOTYPE_MATCH_MODERATE,0.615112,Giant cell arteritis,,397,MONDO:0008538,ORPHA,separate_orpha_record,none,0.249356,0.365756,2,8,8,8,0,4.941108,1,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,18
TOP3A,HGNC:11992,0.606588,PHENOTYPE_MATCH_MODERATE,0.606588,Autosomal recessive progressive external ophthalmoplegia,,254886,MONDO:0016810,ORPHA,separate_orpha_record,none,0.256865,0.349723,3,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000479:0.765;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,19
KIAA0586,HGNC:19960,0.603620,PHENOTYPE_MATCH_MODERATE,0.603620,Joubert syndrome with Jeune asphyxiating thoracic dystrophy,,397715,MONDO:0018342,ORPHA,separate_orpha_record,none,0.234709,0.368911,4,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0012795:0.475;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0012795:0.941;HP:0000587->HP:0012795:0.965;HP:0001103->HP:0000556:0.639;HP:0001117->HP:0000572:0.377;HP:0032122->HP:0000572:0.364;HP:0012795->HP:0012795:1.000,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,20
