final_rank,gene,combined_score,gene_score,ppi_final,in_network,disease_score,tissue_score,topology_score,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count,gene_rank,ppi_rank,best_pathogenic_rank,variant_row_count,max_cadd_phred,mapped_tissues,mapped_tissue_counts_json,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_match_status,mapping_basis
11,EYS,0.6806152397709557,0.649057,0.7121734795419113,True,0.8,0.6666666666666666,0.6886939181676454,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,3.0,140,,8.0,2.701,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791.0,MONDO:0019200,separate_orpha_record,none
12,SPATA7,0.6799361258446446,0.649057,0.7108152516892892,True,1.0,0.6666666666666666,0.44326100675715685,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,8.0,141,,5.0,5.896,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791.0,MONDO:0019200,separate_orpha_record,none
13,MTFMT,0.6723180743861867,0.622071,0.7225651487723734,True,0.56,0.8,0.7782605950894939,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,14.0,118,,5.0,0.347,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.622071,Combined oxidative phosphorylation deficiency 15,614947.0,,MONDO:0013987,separate_omim_record,none
14,CRPPA,0.6693706314850234,0.586576,0.7521652629700469,True,0.8,0.8,0.6086610518801875,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,29.0,83,,5.0,0.561,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.586576,Muscle-eye-brain disease,,588.0,MONDO:0018939,separate_orpha_record,none
15,YME1L1,0.6642216151020337,0.601211,0.7272322302040675,True,0.8,0.6666666666666666,0.7489289208162698,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,21.0,115,,5.0,5.582,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.601211,Optic atrophy 11,617302.0,,MONDO:0015011,separate_omim_record,none
16,CACNA1A,0.658852770148781,0.574545,0.7431605402975618,True,0.8,0.6666666666666666,0.8126421611902475,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,33.0,94,,10.0,9.458,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835.0,MONDO:0018614,separate_orpha_record,none
17,LARGE1,0.6535880351918204,0.592298,0.7148780703836409,True,1.0,0.6666666666666666,0.45951228153456386,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,26.0,132,,33.0,12.09,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.592298,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1",236670.0,,MONDO:0009364,separate_omim_record,none
18,RERE,0.6514356753397552,0.586576,0.7162953506795106,True,1.0,0.6666666666666666,0.4651814027180423,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,30.0,128,,4.0,2.414,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.586576,1p36 deletion syndrome,,1606.0,MONDO:0011929,separate_orpha_record,none
19,AKT1,0.6476646731662516,0.505368,0.7899613463325031,True,0.8,0.6666666666666666,0.9998453853300124,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,89.0,47,,1.0,9.473,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.505368,Meningioma,,2495.0,MONDO:0016642,separate_orpha_record,none
20,TBCD,0.6440149391899367,0.464323,0.8237068783798733,True,1.0,0.8333333333333333,0.5948275135194933,FULL_ANCHOR,1.0,OK,True,2.1,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370,113.0,29,,5.0,2.237,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_WEAK,0.464323,"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum",617193.0,496641.0,MONDO:0044646,matched_same_disease,MONDO_equivalentTo
21,FZR1,0.6435209305147465,0.574545,0.7124968610294928,True,0.44,0.8333333333333333,0.8219874441179711,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370,39.0,137,,5.0,0.209,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835.0,MONDO:0018614,separate_orpha_record,none
